,0
0,0.7777777777777778
1,0.8888888888888888
2,0.7777777777777778
3,0.7777777777777778
4,0.6666666666666666
5,0.7777777777777778
6,0.7777777777777778
7,0.8888888888888888
8,0.6666666666666666
9,0.7777777777777778
10,0.8888888888888888
11,1.0
12,1.0
13,0.7777777777777778
14,0.8888888888888888
15,0.6666666666666666
16,1.0
17,0.5555555555555556
18,0.8888888888888888
19,0.7777777777777778
20,0.8888888888888888
21,0.8888888888888888
22,0.7777777777777778
23,0.6666666666666666
24,0.7777777777777778
25,0.7777777777777778
26,0.6666666666666666
27,0.8888888888888888
28,0.8888888888888888
29,0.7777777777777778
30,0.7777777777777778
31,1.0
32,0.4444444444444444
33,0.5555555555555556
34,0.6666666666666666
35,0.8888888888888888
36,0.5555555555555556
37,0.7777777777777778
38,0.8888888888888888
39,0.5555555555555556
