42225,2
4833,5
34361,4
31781,4
18685,4
37356,8
5956,2
10392,8
48947,1
25395,12
31538,4
1887,4
24536,3
41581,2
9025,22
21847,1
24202,25
44966,8
27624,8
18162,9
47452,1
12258,5
19026,1
23645,1
9275,5
40264,1
2607,2
39729,5
28145,4
20408,2
20439,4
24966,4
32881,1
28499,1
17321,4
14161,5
34940,4
40559,1
29687,2
6979,1
33025,1
3959,1
14552,7
33760,1
15247,1
1846,5
10750,4
37873,1
10164,2
45570,4
29198,1
44624,4
32236,1
19787,1
6524,3
32900,4
20515,10
42989,3
22249,2
40448,12
10367,1
37502,1
5381,2
26425,8
7585,1
5314,3
42558,7
2725,10
50757,1
2409,1
47165,2
4863,1
50028,1
34062,2
18043,1
26320,17
15445,1
23439,7
36198,1
26815,1
12249,6
49783,7
41089,1
14543,1
27,2
13497,4
22692,7
24331,1
2244,1
11797,4
20427,4
3494,2
34893,1
41419,1
26967,1
12968,1
10201,1
40675,7
38611,15
38818,5
20841,1
42764,10
46920,4
45375,1
8394,1
37798,1
7621,10
16723,2
4201,1
3651,1
41924,11
16508,4
6644,4
35793,10
35154,4
1965,5
43932,1
31187,20
7257,1
45502,1
16069,5
32494,7
33737,4
40563,2
1588,4
17319,2
42410,1
6563,1
33291,7
22777,1
3138,3
33956,1
45273,10
13703,4
40480,4
39513,5
8706,4
32946,1
47353,4
42982,1
3070,1
24642,1
11886,1
28933,7
9673,1
8437,3
32502,10
37600,1
22326,1
45328,8
19813,3
23263,1
49271,1
7845,4
6299,4
10951,6
26520,7
37524,13
40659,1
30118,1
32617,1
18888,1
4384,9
3542,5
36853,6
46413,1
33550,4
2163,4
28696,1
30650,4
24802,1
17144,4
13015,1
32014,1
17989,11
4279,1
47730,3
19275,5
41868,1
13088,4
13056,4
32961,1
49277,1
48670,4
32114,1
25188,2
15538,1
1870,1
18595,1
7807,5
36406,6
11732,4
21422,1
38964,11
19584,4
9920,1
8566,7
3412,5
11127,5
38787,5
48789,6
41967,1
50710,9
34788,1
16793,6
9803,1
27310,2
39042,1
48809,2
4927,7
15913,1
32604,2
12732,1
31660,1
22309,1
48221,10
34938,11
49305,6
17541,1
7481,2
14574,1
39018,4
37342,1
3129,1
35557,1
6250,4
6752,1
35164,6
39004,11
3124,1
43620,5
42831,1
48339,4
32453,4
31292,2
12753,6
31423,13
1948,1
32950,1
3547,4
4338,4
2716,7
21874,1
33821,1
1464,7
148,2
17092,4
16407,5
17669,4
24409,2
35028,13
22012,4
29591,2
1199,1
47272,11
4508,3
41429,7
2283,6
